find_name	new_gcf	assembly_category	assembly_level	find_taxid	find_taxrank	find_lineage
Prochlorococcus marinus	GCF_000007925.1	Represent	Complete Genome	1219	species	k__Bacteria;p__Cyanobacteria;c__;o__Synechococcales;f__Prochlorococcaceae;g__Prochlorococcus;s__Prochlorococcus marinus;t__
Propionibacterium freudenreichii	GCF_900087655.1	Represent	Complete Genome	1744	species	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Propionibacterium;s__Propionibacterium freudenreichii;t__
Cutibacterium acnes	GCF_000376705.1	Represent	Complete Genome	1747	species	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium acnes;t__
Proteus penneri	GCF_022369495.1	Unreference	Complete Genome	102862	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Morganellaceae;g__Proteus;s__Proteus penneri;t__
Providencia stuartii	GCF_016128115.1	Unreference	Complete Genome	588	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Morganellaceae;g__Providencia;s__Providencia stuartii;t__
Providencia rettgeri	GCF_003204135.1	Represent	Complete Genome	587	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Morganellaceae;g__Providencia;s__Providencia rettgeri;t__
Pseudoalteromonas atlantica	GCF_002374815.1	Unreference	Complete Genome	288	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Pseudoalteromonadaceae;g__Pseudoalteromonas;s__Pseudoalteromonas atlantica;t__
Pseudoalteromonas marina	GCF_002407085.1	Unreference	Complete Genome	267375	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Pseudoalteromonadaceae;g__Pseudoalteromonas;s__Pseudoalteromonas marina;t__
Pseudoalteromonas espejiana	GCF_002221525.1	Represent	Complete Genome	28107	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Pseudoalteromonadaceae;g__Pseudoalteromonas;s__Pseudoalteromonas espejiana;t__
Pseudoalteromonas phenolica	GCF_001444405.1	Represent	Complete Genome	161398	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Pseudoalteromonadaceae;g__Pseudoalteromonas;s__Pseudoalteromonas phenolica;t__
Pseudomonas aeruginosa PAO1	GCF_000006765.1	Reference	Complete Genome	208964	strain	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas aeruginosa;t__Pseudomonas aeruginosa PAO1
Pseudomonas chlororaphis	GCF_014524625.1	Represent	Complete Genome	587753	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas chlororaphis;t__
Pseudomonas syringae pv. avii	GCF_900235835.1	Unreference	Complete Genome	663959	no rank	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas syringae;t__
Pseudomonas syringae	GCF_016694755.2	Represent	Complete Genome	317	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas syringae;t__
Pseudomonas tolaasii	GCF_019285655.1	Unreference	Complete Genome	29442	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas tolaasii;t__
Pseudomonas aeruginosa PAK	GCF_902172305.2	Unreference	Complete Genome	1009714	strain	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas aeruginosa;t__Pseudomonas aeruginosa PAK
Pseudomonas fluorescens SBW25	GCF_000009225.2	Unreference	Complete Genome	216595	strain	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas fluorescens;t__Pseudomonas fluorescens SBW25
Pseudomonas aeruginosa PA1	GCF_000496605.2	Unreference	Complete Genome	1279007	strain	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas aeruginosa;t__Pseudomonas aeruginosa PA1
Pseudomonas agarici	GCF_001543125.1	Represent	Chromosome	46677	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas agarici;t__
Pseudomonas syringae pv. actinidiae	GCF_000344475.3	Unreference	Complete Genome	103796	no rank	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas syringae;t__
Pseudomonas plecoglossicida	GCF_003391255.1	Represent	Complete Genome	70775	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas plecoglossicida;t__
Pseudomonas aeruginosa UCBPP-PA14	GCF_000014625.1	Unreference	Complete Genome	208963	strain	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas aeruginosa;t__Pseudomonas aeruginosa UCBPP-PA14
Pseudomonas savastanoi pv. phaseolicola	GCF_000012205.1	Unreference	Complete Genome	319	no rank	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas savastanoi;t__
Candidatus Puniceispirillum marinum IMCC1322	GCF_000024465.1	Represent	Complete Genome	488538	strain	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__;f__;g__Candidatus Puniceispirillum;s__Candidatus Puniceispirillum marinum;t__Candidatus Puniceispirillum marinum IMCC1322
Pyrobaculum arsenaticum	GCF_000016385.1	Represent	Complete Genome	121277	species	k__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Thermoproteales;f__Thermoproteaceae;g__Pyrobaculum;s__Pyrobaculum arsenaticum;t__
Thermoproteus tenax	GCF_000253055.1	Represent	Complete Genome	2271	species	k__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Thermoproteales;f__Thermoproteaceae;g__Thermoproteus;s__Thermoproteus tenax;t__
Pyrococcus abyssi	GCF_000195935.2	Represent	Complete Genome	29292	species	k__Archaea;p__Euryarchaeota;c__Thermococci;o__Thermococcales;f__Thermococcaceae;g__Pyrococcus;s__Pyrococcus abyssi;t__
Ralstonia pseudosolanacearum	GCF_003595305.1	Represent	Complete Genome	1310165	species	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Ralstonia;s__Ralstonia pseudosolanacearum;t__
Ralstonia solanacearum	GCF_021117135.1	Represent	Chromosome	305	species	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Ralstonia;s__Ralstonia solanacearum;t__
Ralstonia pickettii	GCF_016466415.2	Unreference	Complete Genome	329	species	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Ralstonia;s__Ralstonia pickettii;t__
Raoultella ornithinolytica	GCF_022354265.1	Unreference	Complete Genome	54291	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Raoultella;s__Raoultella ornithinolytica;t__
Sinorhizobium meliloti	GCF_000346065.1	Represent	Complete Genome	382	species	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Rhizobiaceae;g__Sinorhizobium;s__Sinorhizobium meliloti;t__
Rhizobium etli	GCF_002119845.1	Represent	Complete Genome	29449	species	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Rhizobiaceae;g__Rhizobium;s__Rhizobium etli;t__
Rhizobium etli CFN 42	GCF_000092045.1	Unreference	Complete Genome	347834	strain	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Rhizobiaceae;g__Rhizobium;s__Rhizobium etli;t__Rhizobium etli CFN 42
Rhizobium gallicum	GCF_000816845.1	Represent	Complete Genome	56730	species	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Rhizobiaceae;g__Rhizobium;s__Rhizobium gallicum;t__
Rhizobium leguminosarum	GCF_021391715.1	Unreference	Complete Genome	384	species	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Rhizobiaceae;g__Rhizobium;s__Rhizobium leguminosarum;t__
Rhodobacter capsulatus	GCF_000021865.1	Represent	Complete Genome	1061	species	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Rhodobacter;s__Rhodobacter capsulatus;t__
Rhodobacter capsulatus SB 1003	GCF_000021865.1	Represent	Complete Genome	272942	strain	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Rhodobacter;s__Rhodobacter capsulatus;t__Rhodobacter capsulatus SB 1003
Rhodococcus hoagii	GCF_003013675.1	Represent	Complete Genome	43767	species	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Nocardiaceae;g__Rhodococcus;s__Rhodococcus hoagii;t__
Rhodococcus rhodochrous	GCF_003004765.2	Represent	Chromosome	1829	species	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Nocardiaceae;g__Rhodococcus;s__Rhodococcus rhodochrous;t__
Rhodococcus opacus	GCF_020542785.1	Represent	Complete Genome	37919	species	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Nocardiaceae;g__Rhodococcus;s__Rhodococcus opacus;t__
Rhodothermus marinus	GCF_000024845.1	Represent	Complete Genome	29549	species	k__Bacteria;p__Bacteroidetes;c__;o__Bacteroidetes Order II. Incertae sedis;f__Rhodothermaceae;g__Rhodothermus;s__Rhodothermus marinus;t__
Rhodovulum sp. P5	GCF_002079305.1	Unreference	Complete Genome	1564506	species	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Rhodovulum;s__Rhodovulum sp. P5;t__
Riemerella anatipestifer	GCF_019552185.1	Represent	Complete Genome	34085	species	k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Weeksellaceae;g__Riemerella;s__Riemerella anatipestifer;t__
Roseobacter denitrificans	GCF_002983865.1	Represent	Complete Genome	2434	species	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Roseobacteraceae;g__Roseobacter;s__Roseobacter denitrificans;t__
Roseobacter denitrificans OCh 114	GCF_000014045.1	Unreference	Complete Genome	375451	strain	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Roseobacteraceae;g__Roseobacter;s__Roseobacter denitrificans;t__Roseobacter denitrificans OCh 114
Salinibacter ruber	GCF_003491185.1	Represent	Complete Genome	146919	species	k__Bacteria;p__Bacteroidetes;c__;o__Bacteroidetes Order II. Incertae sedis;f__Rhodothermaceae;g__Salinibacter;s__Salinibacter ruber;t__
Salinibacter ruber M8	GCF_000090405.2	Unreference	Complete Genome	761659	strain	k__Bacteria;p__Bacteroidetes;c__;o__Bacteroidetes Order II. Incertae sedis;f__Rhodothermaceae;g__Salinibacter;s__Salinibacter ruber;t__Salinibacter ruber M8
Salinivibrio costicola	GCF_011765565.1	Unreference	Complete Genome	51367	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Vibrionales;f__Vibrionaceae;g__Salinivibrio;s__Salinivibrio costicola;t__
Salmonella enterica subsp. enterica serovar Enteritidis	GCF_020716645.1	Unreference	Complete Genome	149539	no rank	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__Salmonella enterica;t__Salmonella enterica subsp. enterica
Salmonella enterica subsp. enterica serovar Gallinarum	GCF_020023795.1	Unreference	Complete Genome	594	no rank	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__Salmonella enterica;t__Salmonella enterica subsp. enterica
Salmonella enterica subsp. enterica serovar Typhi	GCF_001173525.2	Unreference	Complete Genome	90370	no rank	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__Salmonella enterica;t__Salmonella enterica subsp. enterica
Salmonella enterica subsp. enterica serovar Newport	GCF_003581245.2	Unreference	Complete Genome	108619	no rank	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__Salmonella enterica;t__Salmonella enterica subsp. enterica
Salmonella enterica subsp. enterica serovar Heidelberg	GCF_006695545.1(suppressed)	Unreference	Complete Genome	611	no rank	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__Salmonella enterica;t__Salmonella enterica subsp. enterica
Salmonella enterica subsp. enterica serovar Anatum	GCF_016452145.1	Unreference	Complete Genome	58712	no rank	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__Salmonella enterica;t__Salmonella enterica subsp. enterica
Salmonella enterica subsp. enterica serovar Cerro	GCF_001941405.1	Unreference	Complete Genome	340188	no rank	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__Salmonella enterica;t__Salmonella enterica subsp. enterica
Salmonella enterica subsp. enterica serovar Dublin	GCF_002266085.2	Unreference	Complete Genome	98360	no rank	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__Salmonella enterica;t__Salmonella enterica subsp. enterica
Salmonella enterica subsp. enterica serovar Choleraesuis	GCF_016454285.1	Unreference	Complete Genome	119912	no rank	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__Salmonella enterica;t__Salmonella enterica subsp. enterica
Salmonella enterica subsp. enterica serovar Paratyphi A	GCF_002386165.1	Unreference	Complete Genome	54388	no rank	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__Salmonella enterica;t__Salmonella enterica subsp. enterica
Salmonella enterica subsp. enterica serovar Kentucky	GCF_021266445.1	Unreference	Complete Genome	192955	no rank	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__Salmonella enterica;t__Salmonella enterica subsp. enterica
Salmonella enterica subsp. enterica serovar Virchow	GCF_009664555.1	Unreference	Complete Genome	48409	no rank	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__Salmonella enterica;t__Salmonella enterica subsp. enterica
Salmonella enterica subsp. enterica serovar Weltevreden	GCF_005457265.1	Unreference	Complete Genome	57743	no rank	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__Salmonella enterica;t__Salmonella enterica subsp. enterica
Salmonella enterica subsp. enterica serovar Saintpaul	GCF_020691705.1	Unreference	Complete Genome	90105	no rank	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__Salmonella enterica;t__Salmonella enterica subsp. enterica
Salmonella enterica subsp. enterica serovar Montevideo	GCF_000238455.2	Unreference	Complete Genome	115981	no rank	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__Salmonella enterica;t__Salmonella enterica subsp. enterica
Salmonella enterica subsp. enterica serovar Poona	GCF_900478385.1(suppressed)	Unreference	Complete Genome	436295	no rank	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__Salmonella enterica;t__Salmonella enterica subsp. enterica
Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S	GCF_008244845.1	Unreference	Complete Genome	588858	no rank	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__Salmonella enterica;t__Salmonella enterica subsp. enterica serovar Typhimurium str. LT2
Salmonella enterica subsp. enterica serovar Corvallis	GCF_002265865.2	Unreference	Complete Genome	593905	no rank	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__Salmonella enterica;t__Salmonella enterica subsp. enterica
Salmonella enterica subsp. salamae	GCF_003872475.1(suppressed)	Unreference	Complete Genome	59202	subspecies	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__Salmonella enterica;t__Salmonella enterica subsp. salamae
Salmonella enterica subsp. diarizonae	GCF_003872565.1(suppressed)	Unreference	Complete Genome	59204	subspecies	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__Salmonella enterica;t__Salmonella enterica subsp. diarizonae
Salmonella enterica subsp. enterica serovar Hadar	GCF_016454325.1	Unreference	Complete Genome	149385	no rank	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__Salmonella enterica;t__Salmonella enterica subsp. enterica
Salmonella enterica subsp. enterica serovar Infantis	GCF_022117515.1	Unreference	Complete Genome	595	no rank	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__Salmonella enterica;t__Salmonella enterica subsp. enterica
Salmonella enterica subsp. enterica serovar Indiana	GCF_022350005.1	Unreference	Complete Genome	286783	no rank	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__Salmonella enterica;t__Salmonella enterica subsp. enterica
Salmonella enterica subsp. enterica serovar Pullorum	GCF_003606225.1	Unreference	Complete Genome	605	no rank	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__Salmonella enterica;t__Salmonella enterica subsp. enterica
Salmonella enterica subsp. enterica serovar Brandenburg	GCF_004328765.1	Unreference	Complete Genome	149387	no rank	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__Salmonella enterica;t__Salmonella enterica subsp. enterica
Salmonella enterica subsp. enterica serovar Albany	GCF_014840915.2	Unreference	Complete Genome	211968	no rank	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__Salmonella enterica;t__Salmonella enterica subsp. enterica
Serratia marcescens	GCF_003516165.1	Represent	Chromosome	615	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Yersiniaceae;g__Serratia;s__Serratia marcescens;t__
Serratia sp. ATCC 39006	GCF_000463345.2	Unreference	Complete Genome	104623	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Yersiniaceae;g__Serratia;s__Serratia sp. ATCC 39006;t__
Serratia rubidaea	GCF_016026735.1	Represent	Complete Genome	61652	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Yersiniaceae;g__Serratia;s__Serratia rubidaea;t__
Shewanella putrefaciens	GCF_016406325.1	Represent	Complete Genome	24	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Shewanellaceae;g__Shewanella;s__Shewanella putrefaciens;t__
Shewanella sp. 4	GCF_020511155.1	Represent	Complete Genome	1386772	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Shewanellaceae;g__Shewanella;s__Shewanella sp. 4;t__
Shigella boydii	GCF_016726285.1	Unreference	Complete Genome	621	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Shigella;s__Shigella boydii;t__
Shigella flexneri 2a	GCF_000006925.2	Reference	Complete Genome	42897	serotype	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Shigella;s__Shigella flexneri;t__
Shigella dysenteriae	GCF_022354145.1	Unreference	Complete Genome	622	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Shigella;s__Shigella dysenteriae;t__
Sodalis glossinidius str. 'morsitans'	GCF_900004845.1(suppressed)	Unreference	Complete Genome	343509	strain	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Bruguierivoracaceae;g__Sodalis;s__Sodalis glossinidius;t__Sodalis glossinidius str. 'morsitans'
Sodalis glossinidius	GCF_900004845.1(suppressed)	Unreference	Complete Genome	63612	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Bruguierivoracaceae;g__Sodalis;s__Sodalis glossinidius;t__
Sphingomonas paucimobilis	GCF_016027095.1	Represent	Complete Genome	13689	species	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__Sphingomonas paucimobilis;t__
Spiroplasma citri	GCF_001886855.1	Represent	Complete Genome	2133	species	k__Bacteria;p__Tenericutes;c__Mollicutes;o__Entomoplasmatales;f__Spiroplasmataceae;g__Spiroplasma;s__Spiroplasma citri;t__
Spiroplasma melliferum	GCF_005222125.1	Unreference	Complete Genome	2134	species	k__Bacteria;p__Tenericutes;c__Mollicutes;o__Entomoplasmatales;f__Spiroplasmataceae;g__Spiroplasma;s__Spiroplasma melliferum;t__
Spiroplasma kunkelii	GCF_001274875.1	Represent	Complete Genome	47834	species	k__Bacteria;p__Tenericutes;c__Mollicutes;o__Entomoplasmatales;f__Spiroplasmataceae;g__Spiroplasma;s__Spiroplasma kunkelii;t__
Staphylococcus aureus subsp. aureus COL	GCF_000012045.1	Unreference	Complete Genome	93062	strain	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus aureus;t__Staphylococcus aureus subsp. aureus COL
Staphylococcus epidermidis	GCF_006094375.1	Represent	Complete Genome	1282	species	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus epidermidis;t__
Staphylococcus epidermidis RP62A	GCF_000011925.1	Unreference	Complete Genome	176279	strain	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus epidermidis;t__Staphylococcus epidermidis RP62A
Staphylococcus haemolyticus	GCF_001611955.1	Represent	Complete Genome	1283	species	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus haemolyticus;t__
Staphylococcus aureus subsp. aureus RN4220	GCF_018732165.1	Unreference	Complete Genome	561307	no rank	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus aureus;t__Staphylococcus aureus subsp. aureus NCTC 8325
Staphylococcus aureus subsp. aureus NCTC 8325	GCF_000013425.1	Reference	Complete Genome	93061	strain	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus aureus;t__Staphylococcus aureus subsp. aureus NCTC 8325
Staphylococcus aureus subsp. aureus N315	GCF_000009645.1	Unreference	Complete Genome	158879	strain	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus aureus;t__Staphylococcus aureus subsp. aureus N315
Staphylococcus aureus subsp. aureus str. Newman	GCF_002310435.1	Unreference	Complete Genome	426430	strain	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus aureus;t__Staphylococcus aureus subsp. aureus str. Newman
Staphylococcus saprophyticus	GCF_007814115.1	Represent	Complete Genome	29385	species	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus saprophyticus;t__
Staphylococcus pseudintermedius E140	GCF_000478385.1	Unreference	Chromosome	1266717	strain	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus pseudintermedius;t__Staphylococcus pseudintermedius E140
Staphylococcus pseudintermedius	GCF_016126715.1	Represent	Complete Genome	283734	species	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus pseudintermedius;t__
Staphylococcus pasteuri	GCF_016725285.1	Unreference	Complete Genome	45972	species	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus pasteuri;t__
Staphylococcus hominis	GCF_003812505.1	Represent	Complete Genome	1290	species	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus hominis;t__
Staphylococcus capitis	GCF_022531845.1	Unreference	Complete Genome	29388	species	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus capitis;t__
Staphylococcus xylosus	GCF_000709415.1	Represent	Complete Genome	1288	species	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus xylosus;t__
Stenotrophomonas maltophilia	GCF_900475405.1	Represent	Complete Genome	40324	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Stenotrophomonas;s__Stenotrophomonas maltophilia;t__
Streptococcus thermophilus	GCF_903886475.1	Represent	Complete Genome	1308	species	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus thermophilus;t__
Streptococcus pyogenes MGAS315	GCF_000007425.1	Unreference	Complete Genome	198466	strain	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus pyogenes;t__Streptococcus pyogenes MGAS315
Streptococcus pyogenes	GCF_900475035.1	Represent	Complete Genome	1314	species	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus pyogenes;t__
